site_cata,set,location,better_location,better_location_backup,site,ordered,Longitude (dd.ddddd),Latitude (dd.ddddd),LOI,Corg,Cinorg,d13Corg,d13Cinorg,d13seagrass,gravel,coarse sand,medium sand,fine sand,silt,clay,mud,total,org_wt,Ccontentorg,160off,160remains,160Wt Cpost,160Wt Clost,300off,300remains,300Wt Cpost,300Wt Clost,400off,400remains,400Wt Cpost,400Wt Clost,500off,500remains,500Wt Cpost,500Wt Clost,550off,550remains,550Wt Cpost,550Wt Clost,600off,600remains,600Wt Cpost,600Wt Clost
UPW,bay,bay,Western FL Bay,west,UPW,C7__UPW,-80.81186,24.92574,0.05975125,1.639394886,10.25428664,-12.78,-2.65,,0,4.8,24.1,41.7,22.4,7,29.4,1.716811014,2.6002,0.118936815,0.013,2.5872,0.30505575,0.004203757,0.046091464,2.541108536,0.291723925,0.013331824,0.028572419,2.512536116,0.28240486,0.009319065,0.039229418,2.473306698,0.272285811,0.010119049,0.025459597,2.447847101,0.26559882,0.006686991,0.037277908,2.410569193,0.252884358,0.012714462
BUS,bay,bay,Eastern FL Bay,east,BUS,C8__B45,-80.46342,25.10786,0.048196832,1.218623597,9.504039329,,-1.09,,3,10.6,27.2,35.3,11.7,12.2,23.9,1.18359878,4.0141,0.107226629,0.014,4.0001,0.421721587,0.008696825,0.043691144,3.956408856,0.416906674,0.004814913,0.03131189,3.925096966,0.407350242,0.009556432,0.046288676,3.87880829,0.394594879,0.012755362,0.029523738,3.849284553,0.386180951,0.008413928,0.045603054,3.803681499,0.376040175,0.007691729
Ctf607,bay,bay,Western FL Bay,west,Ctf607,C9__Ctf607,-80.87157,25.09855,0.165431725,5.514448219,6.098174996,,-7.18,,0,12.4,16.8,11.2,44.8,14.8,59.6,4.992835774,1.7507,0.116126232,0.0171,1.7336,0.202235979,0.001066215,0.070736531,1.662863469,0.171669701,0.030566278,0.056245856,1.606617613,0.154594596,0.017075106,0.071858543,1.53475907,0.132929863,0.021664732,0.041635957,1.493123114,0.120752353,0.01217751,0.101042902,1.392080212,0.106635778,0.014116575
EgK,bay,bay,Eastern FL Bay,east,EgK,C10__EgK,-80.56853,25.17412,0.060203894,1.436928314,9.972824532,,-1.07,,0,9.1,22.2,35.1,19.9,13.7,33.6,1.433071903,2.2772,0.114097528,0.0082,2.269,0.260880383,-0.001057492,0.029770567,2.239229433,0.25243497,0.008445413,0.023826983,2.21540245,0.245172893,0.007262077,0.038825482,2.176576968,0.236269309,0.008903584,0.024856384,2.151720584,0.227974473,0.008294836,0.047224433,2.104496151,0.218687604,0.00928687
RNK02,bay,bay,Western FL Bay,west,RNK02,D1__RNK02,-80.80339,25.12357,0.15226983,5.677683798,6.759072336,,-5.37,,0,16.1,10.9,11.8,44.1,17.1,61.2,5.793959887,1.8293,0.124367561,0.0209,1.8084,0.223078989,0.004426591,0.089288807,1.719111193,0.186637563,0.036441426,0.060364038,1.658747154,0.164149775,0.022487788,0.076172692,1.582574462,0.139634815,0.02451496,0.042181459,1.540393003,0.127752346,0.011882469,0.100520696,1.439872308,0.113033044,0.014719302
SNB,bay,bay,Western FL Bay,west,SNB,D2__SNB,-80.88988,25.1263,0.147292861,4.392060168,6.243239514,,-6.78,,0,4.2,6,16.6,49.9,23.3,73.2,3.933589679,2.556,0.106352997,0.0203,2.5357,0.270869765,0.000968494,0.077763741,2.457936259,0.242047027,0.028822738,0.065798892,2.392137367,0.22013045,0.021916578,0.091398655,2.300738712,0.193474108,0.026656341,0.062171163,2.238567549,0.176149005,0.017325103,0.135592896,2.102974653,0.153881302,0.022267703
DCK161,bay,bay,Eastern FL Bay,east,DCK161,D3__DCK161,-80.50317,25.19859,0.0779438,2.102906859,9.341160142,,-2.17,,0,7.6,26.6,39.3,19.2,7.3,26.5,1.893759301,3.2734,0.11444067,0.0153,3.2581,0.370854124,0.003755966,0.052822112,3.205277888,0.352754805,0.018099319,0.037190764,3.168087124,0.341718466,0.011036339,0.055493105,3.11259402,0.327490025,0.014228441,0.036731589,3.075862431,0.314103871,0.013386154,0.068624658,3.007237773,0.301007731,0.01309614
CRK,bay,bay,Western FL Bay,west,CRK,D4__CRK,-80.77529,25.02704,0.08161435,2.426897241,9.348742293,,-1.1,,5.3,19.6,24.4,35.4,6.2,9.1,15.3,2.091592257,3.221,0.117756395,0.0195,3.2015,0.376771622,0.002521728,0.066704186,3.134795814,0.353050065,0.023721557,0.038257531,3.096538284,0.338970118,0.014079947,0.057365824,3.039172459,0.32387651,0.015093608,0.039442048,2.999730411,0.313672019,0.010204491,0.067325872,2.932404539,0.301014692,0.012657327
MK04,bay,bay,Eastern FL Bay,east,MK04,D5__MK04,-80.57079,25.103,0.098927777,2.9095037,8.844479798,,-1.47,,0,16.5,8.4,4,43.4,27.7,71.1,2.920495131,2.0343,0.117539835,0.0099,2.0244,0.233924658,0.005186628,0.039763202,1.984636798,0.219935458,0.0139892,0.033540017,1.95109678,0.210387845,0.009547613,0.062309253,1.888787528,0.192917205,0.01747064,0.04018915,1.848598378,0.181622178,0.011295027,0.078122536,1.770475842,0.168491783,0.013130395
SWK,bay,bay,Eastern FL Bay,east,SWK,D6__SWK,-80.4855,25.09276,0.099255855,3.316188261,8.957628801,,-1.61,,3.8,2.7,8.8,17.1,45.5,22.1,67.6,3.333312883,2.1453,0.122738171,0.0135,2.1318,0.26071049,0.002599708,0.063106199,2.068693801,0.235872634,0.024837856,0.041513948,2.027179853,0.220958652,0.014913981,0.056975435,1.970204418,0.203535286,0.017423366,0.028946423,1.941257995,0.194342423,0.009192863,0.064563778,1.876694217,0.183632826,0.010709597
